year,gender,name,n
2019,female,JENNIFER,1096
2019,female,MARITA,1092
2019,female,YEVHENIIA,1085
2019,female,ALA,1080
2019,female,OLESIA,1078
2019,female,NIKOL,1061
2019,female,PATRICIA,1046
2019,female,DAJANA,1043
2019,female,SIMONA,1041
2019,female,GANNA,1039
2019,female,MALINA,1035
2019,female,RUSLANA,1034
2019,female,YELYZAVETA,1025
2019,female,LEONTYNA,1014
2019,female,LIVIA,1011
2019,female,ANIKA,1010
2019,female,EMANUELA,1009
2019,female,ISABELLA,1006
2019,female,ZINAIDA,1001
2019,female,TATSIANA,998
2019,female,POLINA,975
2019,female,GLORIA,974
2019,female,BENEDYKTA,972
2019,female,KORNELA,972
2019,female,BLANDYNA,970
2019,female,GALINA,970
2019,female,LUBOMIRA,954
2019,female,SABRINA,953
2019,female,AMALIA,947
2019,female,BERENIKA,944
2019,female,ANASTASIA,935
2019,female,IWONNA,933
2019,female,LIGIA,928
2019,female,NIKOLETTA,928
2019,female,RAMONA,919
2019,female,KRISTINA,917
2019,female,BOGDANA,916
2019,female,LARA,916
2019,female,"NATALLIA",914
2019,female,GABRYELA,906
2019,female,VITA,906
2019,female,ŻAKLINA,897
2019,female,MYROSLAVA,892
2019,female,VOLHA,892
2019,female,JANA,891
2019,female,MIRA,886
2019,female,CAROLINE,885
2019,female,DOMICELA,875
2019,female,CARMEN,868
2019,female,LIDIIA,863
2019,female,INGEBORGA,857
2019,female,EMILA,851
2019,female,ZHANNA,850
2019,female,TEKLA,847
2019,female,INGRID,841
2019,female,GABRIELLA,837
2019,female,HANNAH,829
2019,female,NELLY,822
2019,female,SYBILLA,819
2019,female,ULIANA,818
2019,female,SWIETŁANA,806
2019,female,DALIA,801
2019,female,"NADIYA",801
2019,female,MICHAELA,798
2019,female,CELESTYNA,792
2019,female,IRMA,791
2019,female,KATSIARYNA,787
2019,female,KARYNA,783
2019,female,LEONIA,772
2019,female,MARHARYTA,766
2019,female,LYUDMYLA,764
2019,female,GRACJANA,763
2019,female,IDALIA,756
2019,female,"NAOMI",745
2019,female,ELIZABETH,740
2019,female,ALICIA,737
2019,female,ANZHELA,733
2019,female,SŁAWA,730
2019,female,ALICE,728
2019,female,LILY,728
