name,"female,flanders,65-inf","female,flanders,18-64","female,flanders,0-17","female,wallonia,65-inf","female,wallonia,18-64","female,wallonia,0-17","female,brussels,65-inf","female,brussels,18-64","female,brussels,0-17","male,flanders,65-inf","male,flanders,18-64","male,flanders,0-17","male,wallonia,65-inf","male,wallonia,18-64","male,wallonia,0-17","male,brussels,65-inf","male,brussels,18-64","male,brussels,0-17"
Roger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1472903769354709,0.022627413024072732,0.0002989982113155391,0.04544772811996194,0.016608868383398655,0.00023148248617977217,0.00690589417102987,0.0022858895510252503,0.0
Katrien,0.002797080041338914,0.14627764105843438,0.0009066397375374412,0.0,0.0015528616781226383,0.0,0.0,0.0013792498134878092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14424252420077055,0.0007908984944475549,0.0,0.0011381222237172132,0.0,0.0,0.0014081851242602808,0.0
Frédéric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001032026084218151,0.02402595304474219,0.0003568688328604821,0.0021701483079353645,0.14159976581688483,0.0007137376657209642,0.0008969946339466173,0.01802669861124976,0.0
Carine,0.008719173646104753,0.14156118540252152,0.0,0.0009741554626732079,0.07924417110220867,0.0,0.0005208355939044874,0.010127358770365033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019965364433005353,0.14124289698402434,0.017168284391666438,0.0009259299447190887,0.13629495884193168,0.00911462289332853,0.001032026084218151,0.028231218210341386,0.00878668937124052
Alain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012258926663937103,0.06777614293271914,0.000366513936451306,0.04716455655912859,0.13978648634180993,0.00042438455799624907,0.00823691846656356,0.019801397671961346,0.0
Michel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058632584728618126,0.07630241450700741,0.001167057534489685,0.13356539452572858,0.13866765432527436,0.0013213791919428662,0.019203401249330267,0.019319142492420154,0.0005304806974953112
Eric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05729191532949362,0.09444485436134704,0.0014371204350327525,0.007571406318796716,0.13620815290961427,0.0013406693991245139,0.002874240870065505,0.017843441643024104,0.0011091869129447418
Ingrid,0.033487799667340376,0.13618886270243263,0.0003182884184971868,0.0027584996269756183,0.02715096660816911,0.00034722372926965824,0.0008680593231741457,0.003877331643511184,0.0002507726933614199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
