name,count,gender,area,age
Hugo,5417,male,wallonia,0-17
Henri,5407,male,flanders,65-inf
Joke,5391,female,flanders,18-64
Cindy,5374,female,wallonia,18-64
Florence,5372,female,wallonia,18-64
Louis,5358,male,flanders,65-inf
Nicolas,5357,male,flanders,18-64
Mélanie,5335,female,wallonia,18-64
Roland,5323,male,flanders,65-inf
Laetitia,5305,female,wallonia,18-64
Hugo,5266,male,flanders,65-inf
Lucas,5259,male,flanders,0-17
Simon,5256,male,flanders,18-64
Steve,5250,male,flanders,18-64
Noah,5249,male,wallonia,0-17
Louise,5226,female,flanders,0-17
Chris,5200,male,flanders,18-64
Serge,5200,male,wallonia,18-64
Robert,5198,male,wallonia,65-inf
Audrey,5198,female,wallonia,18-64
Sabrina,5170,female,wallonia,18-64
Noah,5164,male,flanders,0-17
Julie,5147,female,flanders,0-17
Benny,5116,male,flanders,18-64
Manon,5110,female,wallonia,18-64
Elodie,5083,female,wallonia,18-64
Ludovic,5082,male,wallonia,18-64
Lien,5081,female,flanders,18-64
Louis,5070,male,wallonia,0-17
Peggy,5069,female,flanders,18-64
Pascale,5053,female,flanders,18-64
Joseph,5038,male,wallonia,65-inf
Benoît,5034,male,wallonia,18-64
Damien,5029,male,wallonia,18-64
Philip,4993,male,flanders,18-64
Nadine,4966,female,wallonia,18-64
Michaël,4953,male,flanders,18-64
Jean-François,4950,male,wallonia,18-64
Marcel,4929,male,wallonia,65-inf
Jelle,4927,male,flanders,18-64
Cécile,4920,female,wallonia,18-64
Francine,4902,female,wallonia,65-inf
Lieve,4898,female,flanders,18-64
Delphine,4897,female,wallonia,18-64
Alain,4890,male,wallonia,65-inf
Lotte,4889,female,flanders,0-17
Elisabeth,4848,female,flanders,65-inf
Charlotte,4839,female,wallonia,18-64
Lisette,4814,female,flanders,65-inf
Lucas,4805,male,wallonia,0-17
Philippe,4801,male,wallonia,65-inf
Milan,4781,male,flanders,0-17
Johan,4776,male,flanders,65-inf
Hanne,4775,female,flanders,18-64
Joëlle,4775,female,wallonia,18-64
Evelien,4773,female,flanders,18-64
Théo,4771,male,wallonia,0-17
Sandra,4759,female,wallonia,18-64
Georgette,4751,female,flanders,65-inf
Kenny,4746,male,flanders,18-64
Véronique,4737,female,flanders,18-64
Daniel,4735,male,flanders,65-inf
Elise,4735,female,flanders,0-17
Annie,4733,female,wallonia,65-inf
Arthur,4733,male,flanders,0-17
Jonathan,4726,male,flanders,18-64
Liliane,4725,female,wallonia,65-inf
Roger,4712,male,wallonia,65-inf
Liam,4693,male,flanders,0-17
Veronique,4688,female,flanders,18-64
René,4688,male,wallonia,65-inf
Joanna,4679,female,flanders,65-inf
Pauline,4669,female,wallonia,18-64
Anny,4664,female,flanders,65-inf
Dirk,4657,male,flanders,65-inf
Alexander,4633,male,flanders,18-64
Emma,4623,female,wallonia,0-17
Jennifer,4622,female,wallonia,18-64
Louis,4608,male,flanders,0-17
André,4597,male,wallonia,18-64
Fatima,4593,female,flanders,18-64
Vicky,4570,female,flanders,18-64
Chantal,4562,female,wallonia,65-inf
Robert,4558,male,flanders,18-64
Dominique,4553,female,flanders,18-64
Marianne,4545,female,flanders,18-64
Francis,4544,male,wallonia,65-inf
Lars,4541,male,flanders,0-17
Bernadette,4533,female,wallonia,65-inf
Ella,4533,female,flanders,0-17
Noor,4532,female,flanders,0-17
Franky,4521,male,flanders,18-64
Jessica,4496,female,flanders,18-64
Sylvie,4489,female,flanders,18-64
Jenny,4483,female,flanders,65-inf
Béatrice,4471,female,wallonia,18-64
Raphaël,4457,male,wallonia,18-64
Karel,4451,male,flanders,18-64
Lucien,4445,male,flanders,65-inf
Christiane,4436,female,flanders,18-64
Walter,4422,male,flanders,18-64
Tine,4418,female,flanders,18-64
Mathieu,4417,male,wallonia,18-64
Ivan,4407,male,flanders,18-64
Yannick,4403,male,flanders,18-64
Myriam,4383,female,wallonia,18-64
Muriel,4378,female,wallonia,18-64
Angélique,4368,female,wallonia,18-64
Gerda,4354,female,flanders,18-64
Thierry,4345,male,flanders,18-64
Christiana,4339,female,flanders,65-inf
Ben,4338,male,flanders,18-64
Geoffrey,4332,male,wallonia,18-64
Sabrina,4328,female,flanders,18-64
Linda,4315,female,flanders,65-inf
Aurore,4303,female,wallonia,18-64
Didier,4300,male,flanders,18-64
Joeri,4291,male,flanders,18-64
Martine,4276,female,wallonia,65-inf
Josiane,4272,female,wallonia,65-inf
Lea,4269,female,flanders,65-inf
Wout,4260,male,flanders,0-17
Jacques,4256,male,wallonia,18-64
Yvonne,4246,female,flanders,65-inf
Arthur,4239,male,wallonia,0-17
Emmanuel,4236,male,wallonia,18-64
Yvette,4227,female,wallonia,65-inf
Georges,4221,male,wallonia,65-inf
Tamara,4215,female,flanders,18-64
Romain,4211,male,wallonia,18-64
Benoit,4209,male,wallonia,18-64
Adrien,4206,male,wallonia,18-64
Vera,4182,female,flanders,18-64
Benjamin,4174,male,flanders,18-64
Annick,4174,female,wallonia,18-64
Lucie,4169,female,wallonia,0-17
Christine,4168,female,flanders,65-inf
Barbara,4155,female,flanders,18-64
