name,"women,1970-1979","women,1950-1959","women,1960-1969","women,1940-1949","women,1980-1989","women,1990-1999","women,1930-1939","women,2000-2003","women,before 1930","male,1970-1979","male,1950-1959","male,1960-1969","male,1940-1949","male,1980-1989","male,1990-1999","male,1930-1939","male,2000-2003","male,before 1930","women,Stockholms","women,Västra Götalands","women,Skåne","women,Östergötlands","women,Uppsala","women,Gävleborgs","women,Dalarnas","women,Västernorrlands","women,Hallands","women,Jönköpings","women,Västerbottens","women,Norrbottens","women,Värmlands","women,Örebro","women,Södermanlands","women,Västmanlands","women,Kalmar","women,Kronobergs","women,Jämtlands","women,Blekinge","women,Gotlands","male,Stockholms","male,Västra Götalands","male,Skåne","male,Östergötlands","male,Uppsala","male,Gävleborgs","male,Dalarnas","male,Västernorrlands","male,Hallands","male,Jönköpings","male,Västerbottens","male,Norrbottens","male,Värmlands","male,Örebro","male,Södermanlands","male,Västmanlands","male,Kalmar","male,Kronobergs","male,Jämtlands","male,Blekinge","male,Gotlands"
Linda,0.2774683007811638,0.007747408285425914,0.013899761923852378,0.002606205360722321,0.16564357677902355,0.06230682214841614,0.0005126961365355385,0.0058247977734176455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09992792554795246,0.09330981991505577,0.06552471527446473,0.024626463315799454,0.0179126412791212,0.014275417935421782,0.014521545830860088,0.014507872058891291,0.020401267777441855,0.018514287245748173,0.015998313203489926,0.01327723258169976,0.01628546241483462,0.015164213113393445,0.013947247408170705,0.01361907688091963,0.013167842405949402,0.010528804415972003,0.006891581072272584,0.008573455024434346,0.0037466135194497777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23864580999794494,0.004856371737739406,0.025663289945473344,0.0020223014274457353,0.27517540972610205,0.17575508391625222,0.0006551117300176325,0.030277555174293185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16524753424288527,0.13219802739430822,0.08283571058695895,0.034786075888613995,0.029576368768503176,0.020483310409254624,0.021303736727382314,0.01694180346933677,0.024093186209016453,0.026239968408117237,0.018623677421498532,0.017187931364775078,0.020592700585004984,0.021344758043288697,0.01847326592984179,0.021180672779663158,0.01546503609670693,0.013687445740763604,0.008546107480496756,0.010556151959909594,0.003732939747480983
Kerstin,0.014042177517334468,0.18051176473855415,0.06025603760227398,0.2505802367317444,0.005839039332765855,0.002705896276159786,0.11228045390128291,0.001096600069812124,0.015637232164333922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11238473181152453,0.09273552149236641,0.0914091656113933,0.03103946236916422,0.02170027611447736,0.021030261288006415,0.02402481734917248,0.017297321540525434,0.02170027611447736,0.021290062955413518,0.014740326182360807,0.013851531004389144,0.021303736727382314,0.02004574970625319,0.02067474321681775,0.016504242766335334,0.017187931364775078,0.012511501351447251,0.008258958269152064,0.01364642442485722,0.003979067642919289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carina,0.05562753081410593,0.09258437732270931,0.24529661821355875,0.012788920294692044,0.011692320224879918,0.0019938183087493165,0.00032755586500881625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676851712455343,0.07041992563929328,0.05078438909210393,0.017379364172338204,0.013988268724077088,0.015629121360332468,0.014125006443765038,0.012771303018854352,0.014740326182360807,0.015259929517175008,0.01082962739928549,0.010939017575035848,0.014193375303609014,0.012853345650667121,0.013044778458230249,0.012784976790823148,0.011554337313631615,0.007698333618431478,0.006166871157926459,0.007643638530556299,0.0032543577285731647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06645111591874507,0.24335976614220228,0.19959545426515476,0.2355696331787317,0.0198384921720557,0.00642294326604244,0.04716804456126954,0.001139324747856752,0.0012532572226424273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15901229422511481,0.12660545465907114,0.10319595704849444,0.03460831685301966,0.026540791391430726,0.026636507795212292,0.02771673578074708,0.024421356736267528,0.02745693411333998,0.026540791391430726,0.021166999007694365,0.023368476294670332,0.029234524469283305,0.022589071292449022,0.022862546731824925,0.02097556620013124,0.020825154708474496,0.014343786795265755,0.011526989769694025,0.013454991617294092,0.004990926768610106
Magnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23950030355883753,0.028383427780981334,0.2004072231480027,0.007932548556952636,0.08965061609697818,0.024395791163482707,0.0010111507137228676,0.0024210650891955984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10684685416416265,0.09719317115419351,0.07709272636006513,0.02983617043591028,0.01952614637143899,0.018213464262434687,0.01785794619124602,0.016189746011053056,0.023682973049952608,0.02157721216675821,0.014890737674017548,0.013072126002167839,0.013660098196826013,0.016996498557211945,0.015300950833081393,0.014179701531640216,0.01680506574964882,0.013537034249106862,0.008108546777495321,0.011978224244664253,0.00363722334369942
Susanne,0.09051935121721896,0.06427215733846904,0.2360965708746155,0.005568449705149876,0.029223679782525696,0.004628506788168055,0.00044148833979449145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085365358401186,0.06787660405309744,0.05339607953814373,0.02376501568176538,0.015027475393705495,0.011704748805288358,0.013345601441543736,0.010269002748564902,0.015068496709611879,0.0150138016217367,0.009667356781937931,0.008764887831997473,0.011622706173475588,0.01253884889538484,0.013837857232420347,0.012798650562791943,0.011978224244664253,0.0073838368631491975,0.004785820189078183,0.00648136791320874,0.0031586413247916014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19048085628230074,0.0031616261753024876,0.017047146539806653,0.0009114597982854016,0.23454424090566064,0.14597598331914635,0.00034179742435702567,0.016748073793494255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11588521743553602,0.10315493573258805,0.06854661887956838,0.029220850697314508,0.02247968111669867,0.017666513383682896,0.019143280756312733,0.016080355835302696,0.01984064312672127,0.022192531905353974,0.01830918066621625,0.015369319692925364,0.01899286926465599,0.01873306759724889,0.015642795132301265,0.01740671171627579,0.014398481883140935,0.011581684857569203,0.008368348444902423,0.009134079675154934,0.0028031232536029358
Stefan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14247255971948686,0.1191876101851645,0.23205196801972403,0.018599476508761478,0.07257498643847513,0.025164835368286016,0.0012105325445977992,0.0030619352598650214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11718422577257151,0.09600355299290836,0.06858764019547477,0.029166155609439328,0.021030261288006415,0.02271213524016818,0.020209834969878732,0.016859760837524,0.01981329558278368,0.022643766380324202,0.014220722847546604,0.016244441098928232,0.01959451523128296,0.019977380846409216,0.017981010138965175,0.017707534699589276,0.016039334519396313,0.011198819242442948,0.007889766425994607,0.010911670031098258,0.003965393870950494
Mats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07828585173710709,0.1767947177486715,0.23061357052555484,0.05679533868065909,0.02436730804478629,0.0046569899068644735,0.007049571877363654,0.0004557298991427008,0.0005411792552319572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11175573830095997,0.07100789783395145,0.08420308778383843,0.024517073140049094,0.021741297430383746,0.020989239972100032,0.024968307615019322,0.01631280995877221,0.019854316898690064,0.017502428120057353,0.015027475393705495,0.018295506894247453,0.014289091707390575,0.015588100044426081,0.015656468904270058,0.014904411445986343,0.015314624605050188,0.01011859125690816,0.008477738620652781,0.012361089859790507,0.0035688544838554455
